tasks,trial,algorithm,waiting,turnaround,throughput,runtime
10,25,GWO,21.4,26.5,0.196,0.004338
10,26,FIFO,24.9,31.3,0.156,3e-06
10,26,RoundRobin,34.5,40.9,0.156,2e-05
10,26,Priority,29.8,36.2,0.156,1.3e-05
10,26,GWO,24.9,31.3,0.156,0.004576
10,27,FIFO,20.2,26.2,0.167,3e-06
10,27,RoundRobin,30.5,36.5,0.167,2.2e-05
10,27,Priority,19.7,25.7,0.167,1.2e-05
10,27,GWO,20.2,26.2,0.167,0.004316
10,28,FIFO,17.0,22.1,0.196,3e-06
10,28,RoundRobin,21.1,26.2,0.196,2e-05
10,28,Priority,16.9,22.0,0.196,1.4e-05
10,28,GWO,17.0,22.1,0.196,0.004351
10,29,FIFO,25.1,32.3,0.139,3e-06
10,29,RoundRobin,39.3,46.5,0.139,2.4e-05
10,29,Priority,28.9,36.1,0.139,1.3e-05
10,29,GWO,25.1,32.3,0.139,0.004364
50,0,FIFO,85.86,90.86,0.2,8e-06
50,0,RoundRobin,122.2,127.2,0.2,7e-05
50,0,Priority,96.86,101.86,0.2,4.6e-05
50,0,GWO,85.86,90.86,0.2,0.02138
50,1,FIFO,105.68,110.84,0.194,1.2e-05
50,1,RoundRobin,125.1,130.26,0.194,9.3e-05
50,1,Priority,103.78,108.94,0.194,8.4e-05
50,1,GWO,105.68,110.84,0.194,0.022341
50,2,FIFO,93.62,98.3,0.214,1e-05
50,2,RoundRobin,107.26,111.94,0.214,6.4e-05
50,2,Priority,101.64,106.32,0.214,4.3e-05
50,2,GWO,93.62,98.3,0.214,0.02149
50,3,FIFO,97.04,102.2,0.194,1.2e-05
50,3,RoundRobin,126.68,131.84,0.194,7.2e-05
50,3,Priority,94.86,100.02,0.194,4.8e-05
50,3,GWO,97.04,102.2,0.194,0.019875
50,4,FIFO,105.08,110.4,0.188,1e-05
50,4,RoundRobin,133.78,139.1,0.188,6.6e-05
50,4,Priority,105.38,110.7,0.188,4.3e-05
50,4,GWO,105.08,110.4,0.188,0.019907
50,5,FIFO,119.32,125.4,0.164,1e-05
50,5,RoundRobin,164.96,171.04,0.164,7.2e-05
50,5,Priority,116.46,122.54,0.164,4.5e-05
50,5,GWO,119.32,125.4,0.164,0.019993
50,6,FIFO,107.34,112.72,0.186,1e-05
50,6,RoundRobin,152.92,158.3,0.186,6.9e-05
50,6,Priority,104.66,110.04,0.186,4.3e-05
50,6,GWO,107.34,112.72,0.186,0.020219
50,7,FIFO,120.24,125.96,0.175,1e-05
50,7,RoundRobin,155.1,160.82,0.175,7.1e-05
50,7,Priority,125.46,131.18,0.175,4.3e-05
50,7,GWO,120.24,125.96,0.175,0.019794
50,8,FIFO,121.64,127.42,0.173,1e-05
50,8,RoundRobin,151.74,157.52,0.173,6.8e-05
50,8,Priority,120.22,126.0,0.173,4.4e-05
50,8,GWO,121.64,127.42,0.173,0.019997
50,9,FIFO,132.3,138.74,0.155,1e-05
50,9,RoundRobin,190.46,196.9,0.155,7.5e-05
50,9,Priority,137.86,144.3,0.155,4.5e-05
50,9,GWO,132.3,138.74,0.155,0.020017
50,10,FIFO,95.7,100.54,0.207,1e-05
50,10,RoundRobin,118.06,122.9,0.207,6.4e-05
50,10,Priority,92.48,97.32,0.207,4.3e-05
50,10,GWO,95.7,100.54,0.207,0.020083
50,11,FIFO,101.76,107.22,0.183,1e-05
50,11,RoundRobin,137.9,143.36,0.183,7.9e-05
50,11,Priority,98.64,104.1,0.183,4.3e-05
50,11,GWO,101.76,107.22,0.183,0.022784
50,12,FIFO,127.06,133.04,0.167,1e-05
50,12,RoundRobin,176.6,182.58,0.167,7.4e-05
50,12,Priority,124.8,130.78,0.167,4.4e-05
50,12,GWO,127.06,133.04,0.167,0.020084
50,13,FIFO,103.74,109.12,0.186,1.1e-05
50,13,RoundRobin,142.4,147.78,0.186,6.9e-05
50,13,Priority,101.46,106.84,0.186,4.3e-05
50,13,GWO,103.74,109.12,0.186,0.020088
50,14,FIFO,119.98,125.64,0.177,1.1e-05
50,14,RoundRobin,149.28,154.94,0.177,8.9e-05
50,14,Priority,121.62,127.28,0.177,4.6e-05
50,14,GWO,119.98,125.64,0.177,0.019933
50,15,FIFO,134.02,139.88,0.171,1e-05
50,15,RoundRobin,167.6,173.46,0.171,7.2e-05
50,15,Priority,121.44,127.3,0.171,4.4e-05
50,15,GWO,134.02,139.88,0.171,0.021353
50,16,FIFO,113.24,119.0,0.174,1.1e-05
50,16,RoundRobin,148.56,154.32,0.174,7.4e-05
50,16,Priority,108.9,114.66,0.174,4.3e-05
50,16,GWO,113.24,119.0,0.174,0.019908
50,17,FIFO,99.0,104.18,0.193,1e-05
50,17,RoundRobin,125.34,130.52,0.193,6.8e-05
50,17,Priority,111.12,116.3,0.193,4.4e-05
50,17,GWO,99.0,104.18,0.193,0.019993
50,18,FIFO,116.88,122.8,0.169,1e-05
50,18,RoundRobin,153.62,159.54,0.169,7.1e-05
50,18,Priority,120.7,126.62,0.169,4.3e-05
50,18,GWO,116.88,122.8,0.169,0.019817
50,19,FIFO,116.64,122.4,0.174,1e-05
50,19,RoundRobin,165.2,170.96,0.174,7e-05
50,19,Priority,128.22,133.98,0.174,4.4e-05
50,19,GWO,116.64,122.4,0.174,0.02062
50,20,FIFO,124.36,130.32,0.168,1e-05
50,20,RoundRobin,167.6,173.56,0.168,7.1e-05
50,20,Priority,123.04,129.0,0.168,4.9e-05
50,20,GWO,124.36,130.32,0.168,0.020001
50,21,FIFO,99.24,104.26,0.199,1e-05
50,21,RoundRobin,122.96,127.98,0.199,6.5e-05
50,21,Priority,101.82,106.84,0.199,4.4e-05
50,21,GWO,99.24,104.26,0.199,0.020932
50,22,FIFO,97.26,102.0,0.211,1e-05
50,22,RoundRobin,119.5,124.24,0.211,6.5e-05
50,22,Priority,98.44,103.18,0.211,4.5e-05
50,22,GWO,97.26,102.0,0.211,0.020029
50,23,FIFO,114.02,119.74,0.175,1e-05
50,23,RoundRobin,157.2,162.92,0.175,7.1e-05
50,23,Priority,110.48,116.2,0.175,4.3e-05
50,23,GWO,114.02,119.74,0.175,0.020158
50,24,FIFO,94.46,99.4,0.202,1e-05
50,24,RoundRobin,117.76,122.7,0.202,6.3e-05
50,24,Priority,100.24,105.18,0.202,4.3e-05
50,24,GWO,94.46,99.4,0.202,0.019814
50,25,FIFO,111.76,117.68,0.169,1e-05
50,25,RoundRobin,164.8,170.72,0.169,7.2e-05
50,25,Priority,122.74,128.66,0.169,4.3e-05
50,25,GWO,111.76,117.68,0.169,0.019829
50,26,FIFO,111.56,116.88,0.188,1e-05
50,26,RoundRobin,145.8,151.12,0.188,7.1e-05
50,26,Priority,115.62,120.94,0.188,4.5e-05
50,26,GWO,111.56,116.88,0.188,0.020017
50,27,FIFO,102.82,107.98,0.194,1e-05
50,27,RoundRobin,138.36,143.52,0.194,6.6e-05
50,27,Priority,95.64,100.8,0.194,4.3e-05
50,27,GWO,102.82,107.98,0.194,0.019735
50,28,FIFO,89.76,94.94,0.193,1e-05
50,28,RoundRobin,119.2,124.38,0.193,6.5e-05
50,28,Priority,94.96,100.14,0.193,4.2e-05
50,28,GWO,89.76,94.94,0.193,0.020512
50,29,FIFO,128.3,134.28,0.167,1.1e-05
